zpid,id,rawHomeStatusCd,marketingStatusSimplifiedCd,imgSrc,hasImage,detailUrl,statusType,statusText,countryCurrency,price,unformattedPrice,address,addressStreet,addressCity,addressState,addressZipcode,isUndisclosedAddress,beds,baths,latLong,isZillowOwned,flexFieldText,contentType,hdpData,isSaved,isUserClaimingOwner,isUserConfirmedClaim,pgapt,sgapt,shouldShowZestimateAsPrice,has3DModel,hasVideo,isHomeRec,hasAdditionalAttributions,isFeaturedListing,isShowcaseListing,list,relaxed,info1String,brokerName,carouselPhotos,hasOpenHouse,openHouseStartDate,openHouseEndDate,openHouseDescription
2076522905,2076522905,ForSale,For Sale by Agent,https://photos.zillowstatic.com/fp/c526f438a51ef18a2a690abd7711df44-p_e.jpg,true,https://www.zillow.com/homedetails/10-Kenneth-Dr-Leamington-ON-N8H-4B3/2076522905_zpid/,FOR_SALE,House for sale,C$,"C$599,900",599900,"10 Kenneth Dr, Leamington, ON N8H 4B3",10 Kenneth Dr,Leamington,ON,N8H4B3,false,3,2,[object Object],false,Corner lot,homeInsight,[object Object],false,false,false,ForSale,For Sale (Broker),false,false,false,false,true,false,false,true,false,MLS® ID #25000321,Lc Platinum Realty Inc. - 525 Brokerage,"[object Object],[object Object],[object Object],[object Object],[object Object],[object Object],[object Object],[object Object],[object Object],[object Object],[object Object],[object Object],[object Object],[object Object],[object Object],[object Object],[object Object],[object Object],[object Object],[object Object],[object Object],[object Object],[object Object],[object Object],[object Object],[object Object],[object Object],[object Object],[object Object],[object Object],[object Object],[object Object],[object Object],[object Object],[object Object],[object Object],[object Object],[object Object],[object Object],[object Object],[object Object],[object Object],[object Object],[object Object],[object Object],[object Object],[object Object],[object Object],[object Object],[object Object]",,,,
440775194,440775194,ForSale,For Sale by Agent,https://photos.zillowstatic.com/fp/d88f1f08ff9f95a5efac917fea267f31-p_e.jpg,true,https://www.zillow.com/homedetails/4-Pulley-Rd-Leamington-ON-N0P-2P0/440775194_zpid/,FOR_SALE,House for sale,C$,"C$539,000",539000,"4 Pulley Rd, Leamington, ON N0P 2P0",4 Pulley Rd,Leamington,ON,N0P2P0,false,2,1,[object Object],false,,,[object Object],false,false,false,ForSale,For Sale (Broker),false,false,false,false,true,false,false,true,false,MLS® ID #24028327,Jump Realty Inc. Brokerage,"[object Object],[object Object],[object Object],[object Object],[object Object],[object Object],[object Object],[object Object],[object Object],[object Object],[object Object],[object Object],[object Object],[object Object],[object Object],[object Object],[object Object],[object Object],[object Object],[object Object],[object Object],[object Object],[object Object],[object Object],[object Object],[object Object],[object Object],[object Object],[object Object],[object Object],[object Object],[object Object],[object Object],[object Object],[object Object],[object Object],[object Object],[object Object],[object Object],[object Object],[object Object],[object Object],[object Object],[object Object],[object Object],[object Object],[object Object],[object Object],[object Object],[object Object]",,,,
440586693,440586693,ForSale,For Sale by Agent,https://photos.zillowstatic.com/fp/12ec6e37e21b94236639e8752be18b28-p_e.jpg,true,https://www.zillow.com/homedetails/1028-Point-Pelee-Dr-Leamington-ON-N8H-3V4/440586693_zpid/,FOR_SALE,House for sale,C$,"C$649,900",649900,"1028 Point Pelee Dr, Leamington, ON N8H 3V4",1028 Point Pelee Dr,Leamington,ON,N8H3V4,false,2,1,[object Object],false,Lakefront views,homeInsight,[object Object],false,false,false,ForSale,For Sale (Broker),false,false,false,false,true,false,false,true,false,MLS® ID #24021708,Century 21 Local Home Team Realty Inc. Brokerage,"[object Object],[object Object],[object Object],[object Object],[object Object],[object Object],[object Object],[object Object],[object Object],[object Object],[object Object],[object Object],[object Object],[object Object],[object Object],[object Object],[object Object],[object Object],[object Object],[object Object],[object Object],[object Object],[object Object],[object Object],[object Object],[object Object],[object Object],[object Object],[object Object],[object Object],[object Object],[object Object],[object Object],[object Object],[object Object],[object Object],[object Object],[object Object],[object Object],[object Object],[object Object],[object Object],[object Object],[object Object],[object Object],[object Object]",,,,
2068525607,2068525607,ForSale,For Sale by Agent,https://photos.zillowstatic.com/fp/7a4d15bdd0840e8732398803724636c9-p_e.jpg,true,https://www.zillow.com/homedetails/29-Elizabeth-Cres-Leamington-ON-N8H-4Y4/2068525607_zpid/,FOR_SALE,House for sale,C$,"C$639,900",639900,"29 Elizabeth Cres, Leamington, ON N8H 4Y4",29 Elizabeth Cres,Leamington,ON,N8H4Y4,false,7,3,[object Object],false,Custom-built brick ranch,homeInsight,[object Object],false,false,false,ForSale,For Sale (Broker),false,false,false,false,true,false,false,true,false,MLS® ID #25001059,Royal Lepage Binder Real Estate - 639 Brokerage,"[object Object],[object Object],[object Object],[object Object],[object Object],[object Object],[object Object],[object Object],[object Object],[object Object],[object Object],[object Object],[object Object],[object Object],[object Object],[object Object],[object Object],[object Object],[object Object],[object Object],[object Object],[object Object],[object Object]",,,,
2067674532,2067674532,ForSale,For Sale by Agent,https://photos.zillowstatic.com/fp/07e7b57d06094ca850e27c732d7cc62b-p_e.jpg,true,https://www.zillow.com/homedetails/16-Julien-Ave-Leamington-ON-N8H-3V7/2067674532_zpid/,FOR_SALE,House for sale,C$,"C$369,000",369000,"16 Julien Ave, Leamington, ON N8H 3V7",16 Julien Ave,Leamington,ON,N8H3V7,false,3,2,[object Object],false,Public sandy beach,homeInsight,[object Object],false,false,false,ForSale,For Sale (Broker),false,false,false,false,true,false,false,true,false,MLS® ID #24027874,H. Featherstone Realty Inc. - 251 Brokerage,"[object Object],[object Object],[object Object],[object Object],[object Object],[object Object],[object Object],[object Object],[object Object],[object Object],[object Object],[object Object],[object Object],[object Object],[object Object],[object Object]",,,,
440605467,440605467,ForSale,For Sale by Agent,https://photos.zillowstatic.com/fp/6a72e9f577ec269412ff4535923afff7-p_e.jpg,true,https://www.zillow.com/homedetails/85-Lutsch-Ave-Leamington-ON-N8H-2N5/440605467_zpid/,FOR_SALE,House for sale,C$,"C$539,500",539500,"85 Lutsch Ave, Leamington, ON N8H 2N5",85 Lutsch Ave,Leamington,ON,N8H2N5,false,3,2,[object Object],false,,,[object Object],false,false,false,ForSale,For Sale (Broker),false,false,false,false,true,false,false,true,false,MLS® ID #24027893,Sun County Realty Inc. - 732 Brokerage,"[object Object],[object Object],[object Object],[object Object],[object Object],[object Object],[object Object],[object Object],[object Object],[object Object],[object Object],[object Object],[object Object],[object Object],[object Object],[object Object],[object Object],[object Object],[object Object],[object Object],[object Object],[object Object],[object Object],[object Object],[object Object],[object Object],[object Object],[object Object],[object Object],[object Object],[object Object],[object Object],[object Object],[object Object],[object Object],[object Object],[object Object],[object Object],[object Object],[object Object],[object Object],[object Object],[object Object],[object Object],[object Object],[object Object],[object Object],[object Object]",,,,
443949895,443949895,ForSale,For Sale by Agent,https://photos.zillowstatic.com/fp/bc929bb4db54577b00ef676651b17c2e-p_e.jpg,true,https://www.zillow.com/homedetails/293-Talbot-St-W-Leamington-ON-N8H-4H3/443949895_zpid/,FOR_SALE,House for sale,C$,"C$1,950,000",1950000,"293 Talbot St W, Leamington, ON N8H 4H3",293 Talbot St W,Leamington,ON,N8H4H3,false,5,2,[object Object],false,Open: Sat 2-4pm (1/18),openHouse,[object Object],false,false,false,ForSale,For Sale (Broker),false,false,false,false,true,false,false,true,false,MLS® ID #25000801,Lc Platinum Realty Inc. - 525 Brokerage,"[object Object],[object Object],[object Object],[object Object],[object Object],[object Object],[object Object],[object Object],[object Object],[object Object],[object Object],[object Object],[object Object],[object Object],[object Object],[object Object],[object Object],[object Object],[object Object],[object Object],[object Object],[object Object],[object Object],[object Object],[object Object],[object Object]",true,2025-01-18T14:00:00,2025-01-18T16:00:00,Open House - 2:00 - 4:00 PM
2059813478,2059813478,ForSale,For Sale by Agent,https://photos.zillowstatic.com/fp/76d2986e6d4f5b8de8c513fdd4892d22-p_e.jpg,true,https://www.zillow.com/homedetails/121-Oak-St-W-Leamington-ON-N8H-2B8/2059813478_zpid/,FOR_SALE,House for sale,C$,"C$499,900",499900,"121 Oak St W, Leamington, ON N8H 2B8",121 Oak St W,Leamington,ON,N8H2B8,false,4,3,[object Object],false,Double car garage,homeInsight,[object Object],false,false,false,ForSale,For Sale (Broker),false,false,false,false,true,false,false,true,false,MLS® ID #40687439,KINGSWAY REAL ESTATE BROKERAGE,"[object Object],[object Object],[object Object],[object Object],[object Object],[object Object],[object Object],[object Object],[object Object],[object Object],[object Object],[object Object],[object Object],[object Object],[object Object],[object Object],[object Object],[object Object],[object Object],[object Object],[object Object],[object Object],[object Object],[object Object],[object Object],[object Object],[object Object],[object Object],[object Object],[object Object],[object Object]",,,,
350931361,350931361,ForSale,New Construction,https://photos.zillowstatic.com/fp/8832351ffc18fa43e749a48066cb03a2-p_e.jpg,true,https://www.zillow.com/homedetails/12-Beach-Blvd-Leamington-ON-N0P-2P0/350931361_zpid/,FOR_SALE,New construction,C$,"C$475,000",475000,"12 Beach Blvd, Leamington, ON N0P 2P0",12 Beach Blvd,Leamington,ON,N0P2P0,false,3,2,[object Object],false,,,[object Object],false,false,false,ForSale,New Construction,false,false,false,false,true,false,false,true,false,MLS® ID #X11823492,IPRO REALTY LTD.,"[object Object],[object Object],[object Object],[object Object],[object Object],[object Object],[object Object],[object Object],[object Object],[object Object],[object Object],[object Object],[object Object],[object Object],[object Object],[object Object],[object Object],[object Object],[object Object],[object Object]",,,,
2062778247,2062778247,ForSale,For Sale by Agent,https://photos.zillowstatic.com/fp/0f976a800729d06609bb15a5c9b76f46-p_e.jpg,true,https://www.zillow.com/homedetails/48-Clark-St-W-Leamington-ON-N8H-1E7/2062778247_zpid/,FOR_SALE,House for sale,C$,"C$474,900",474900,"48 Clark St W, Leamington, ON N8H 1E7",48 Clark St W,Leamington,ON,N8H1E7,false,4,2,[object Object],false,Queen anne style,homeInsight,[object Object],false,false,false,ForSale,For Sale (Broker),false,false,false,false,true,false,false,true,false,MLS® ID #24027495,Deerbrook Realty Inc. - 175 Brokerage,"[object Object],[object Object],[object Object],[object Object],[object Object],[object Object],[object Object],[object Object],[object Object],[object Object],[object Object],[object Object],[object Object],[object Object],[object Object],[object Object],[object Object],[object Object],[object Object],[object Object],[object Object],[object Object],[object Object],[object Object],[object Object],[object Object],[object Object],[object Object],[object Object],[object Object],[object Object],[object Object],[object Object],[object Object],[object Object],[object Object],[object Object],[object Object]",,,,
