zpid,id,rawHomeStatusCd,marketingStatusSimplifiedCd,imgSrc,hasImage,detailUrl,statusType,statusText,countryCurrency,price,unformattedPrice,address,addressStreet,addressCity,addressState,addressZipcode,isUndisclosedAddress,beds,baths,latLong,isZillowOwned,flexFieldText,contentType,hdpData,isSaved,isUserClaimingOwner,isUserConfirmedClaim,pgapt,sgapt,shouldShowZestimateAsPrice,has3DModel,hasVideo,isHomeRec,hasAdditionalAttributions,isFeaturedListing,isShowcaseListing,list,relaxed,info1String,brokerName,carouselPhotos
440262626,440262626,ForSale,For Sale by Agent,https://photos.zillowstatic.com/fp/3308714e90990a844408b6d40c237b48-p_e.jpg,true,https://www.zillow.com/homedetails/209-Bartlett-Rd-Amherstburg-ON-N9V-0G8/440262626_zpid/,FOR_SALE,House for sale,C$,"C$719,900",719900,"209 Bartlett Rd, Amherstburg, ON N9V 0G8",209 Bartlett Rd,Amherstburg,ON,N9V0G8,false,3,2,[object Object],false,,,[object Object],false,false,false,ForSale,For Sale (Broker),false,false,false,false,true,false,false,true,false,MLS® ID #25000660,Lc Platinum Realty Inc. - 525 Brokerage,"[object Object],[object Object],[object Object],[object Object],[object Object],[object Object],[object Object],[object Object],[object Object],[object Object],[object Object],[object Object],[object Object],[object Object],[object Object],[object Object],[object Object],[object Object],[object Object],[object Object],[object Object],[object Object],[object Object],[object Object],[object Object],[object Object],[object Object],[object Object],[object Object],[object Object],[object Object],[object Object],[object Object],[object Object],[object Object],[object Object],[object Object]"
446896918,446896918,ForSale,For Sale by Agent,https://photos.zillowstatic.com/fp/ea3015a736cc66b40d44731651d00123-p_e.jpg,true,https://www.zillow.com/homedetails/636-Bridgeport-Ave-Ottawa-ON-K4M-0E9/446896918_zpid/,FOR_SALE,House for sale,C$,"C$1,099,900",1099900,"636 Bridgeport Ave, Ottawa, ON K4M 0E9",636 Bridgeport Ave,Ottawa,ON,K4M0E9,false,1,4,[object Object],false,2 hours ago,timeOnInfo,[object Object],false,false,false,ForSale,For Sale (Broker),false,false,false,false,true,false,false,true,false,MLS® ID #X11955271,ROYAL LEPAGE TEAM REALTY,[object Object]
443954121,443954121,ForSale,For Sale by Agent,https://photos.zillowstatic.com/fp/c7bd32c3c4aaab04a095321e12bba9b2-p_e.jpg,true,https://www.zillow.com/homedetails/19-Brigade-Ave-Ottawa-ON-K2S-1J5/443954121_zpid/,FOR_SALE,House for sale,C$,"C$1,190,000",1190000,"19 Brigade Ave, Ottawa, ON K2S 1J5",19 Brigade Ave,Ottawa,ON,K2S1J5,false,4,3,[object Object],false,Panoramic views,homeInsight,[object Object],false,false,false,ForSale,For Sale (Broker),false,false,false,false,true,false,false,true,false,MLS® ID #X11919884,RE/MAX HALLMARK REALTY GROUP,"[object Object],[object Object],[object Object],[object Object],[object Object],[object Object],[object Object],[object Object],[object Object],[object Object],[object Object],[object Object],[object Object],[object Object],[object Object],[object Object],[object Object],[object Object],[object Object],[object Object],[object Object],[object Object],[object Object],[object Object],[object Object],[object Object],[object Object],[object Object],[object Object],[object Object],[object Object],[object Object],[object Object],[object Object],[object Object],[object Object],[object Object],[object Object],[object Object]"
446778846,446778846,ForSale,For Sale by Agent,https://photos.zillowstatic.com/fp/1eba66f7db893d178650b4bbac5a3b34-p_e.jpg,true,https://www.zillow.com/homedetails/2227-Midway-Ave-Ottawa-ON-K2B-6V6/446778846_zpid/,FOR_SALE,House for sale,C$,"C$799,900",799900,"2227 Midway Ave, Ottawa, ON K2B 6V6",2227 Midway Ave,Ottawa,ON,K2B6V6,false,4,2,[object Object],false,Spacious inviting layout,homeInsight,[object Object],false,false,false,ForSale,For Sale (Broker),false,false,false,false,true,false,false,true,false,MLS® ID #X11949257,INNOVATION REALTY LTD.,"[object Object],[object Object],[object Object],[object Object],[object Object],[object Object],[object Object],[object Object],[object Object],[object Object],[object Object],[object Object],[object Object],[object Object],[object Object],[object Object],[object Object],[object Object],[object Object],[object Object],[object Object],[object Object],[object Object],[object Object],[object Object]"
443742909,443742909,ForSale,For Sale by Agent,https://photos.zillowstatic.com/fp/82e592e2e1c6595b71434a270c80d2f1-p_e.jpg,true,https://www.zillow.com/homedetails/4320-Owl-Valley-Dr-Ottawa-ON-K1V-1L3/443742909_zpid/,FOR_SALE,Townhouse for sale,C$,"C$599,900",599900,"4320 Owl Valley Dr, Ottawa, ON K1V 1L3",4320 Owl Valley Dr,Ottawa,ON,K1V1L3,false,3,3,[object Object],false,,,[object Object],false,false,false,ForSale,For Sale (Broker),false,false,false,false,true,false,false,true,false,MLS® ID #X11927784,RE/MAX HALLMARK REALTY GROUP,"[object Object],[object Object],[object Object],[object Object],[object Object],[object Object],[object Object],[object Object],[object Object],[object Object],[object Object],[object Object],[object Object],[object Object],[object Object],[object Object],[object Object],[object Object],[object Object],[object Object],[object Object],[object Object],[object Object],[object Object],[object Object],[object Object],[object Object],[object Object],[object Object],[object Object]"
443954121,443954121,ForSale,For Sale by Agent,https://photos.zillowstatic.com/fp/c7bd32c3c4aaab04a095321e12bba9b2-p_e.jpg,true,https://www.zillow.com/homedetails/19-Brigade-Ave-Ottawa-ON-K2S-1J5/443954121_zpid/,FOR_SALE,House for sale,C$,"C$1,190,000",1190000,"19 Brigade Ave, Ottawa, ON K2S 1J5",19 Brigade Ave,Ottawa,ON,K2S1J5,false,4,3,[object Object],false,Panoramic views,homeInsight,[object Object],false,false,false,ForSale,For Sale (Broker),false,false,false,false,true,false,false,true,false,MLS® ID #X11919884,RE/MAX HALLMARK REALTY GROUP,"[object Object],[object Object],[object Object],[object Object],[object Object],[object Object],[object Object],[object Object],[object Object],[object Object],[object Object],[object Object],[object Object],[object Object],[object Object],[object Object],[object Object],[object Object],[object Object],[object Object],[object Object],[object Object],[object Object],[object Object],[object Object],[object Object],[object Object],[object Object],[object Object],[object Object],[object Object],[object Object],[object Object],[object Object],[object Object],[object Object],[object Object],[object Object],[object Object]"
446778846,446778846,ForSale,For Sale by Agent,https://photos.zillowstatic.com/fp/1eba66f7db893d178650b4bbac5a3b34-p_e.jpg,true,https://www.zillow.com/homedetails/2227-Midway-Ave-Ottawa-ON-K2B-6V6/446778846_zpid/,FOR_SALE,House for sale,C$,"C$799,900",799900,"2227 Midway Ave, Ottawa, ON K2B 6V6",2227 Midway Ave,Ottawa,ON,K2B6V6,false,4,2,[object Object],false,Spacious inviting layout,homeInsight,[object Object],false,false,false,ForSale,For Sale (Broker),false,false,false,false,true,false,false,true,false,MLS® ID #X11949257,INNOVATION REALTY LTD.,"[object Object],[object Object],[object Object],[object Object],[object Object],[object Object],[object Object],[object Object],[object Object],[object Object],[object Object],[object Object],[object Object],[object Object],[object Object],[object Object],[object Object],[object Object],[object Object],[object Object],[object Object],[object Object],[object Object],[object Object],[object Object]"
443742909,443742909,ForSale,For Sale by Agent,https://photos.zillowstatic.com/fp/82e592e2e1c6595b71434a270c80d2f1-p_e.jpg,true,https://www.zillow.com/homedetails/4320-Owl-Valley-Dr-Ottawa-ON-K1V-1L3/443742909_zpid/,FOR_SALE,Townhouse for sale,C$,"C$599,900",599900,"4320 Owl Valley Dr, Ottawa, ON K1V 1L3",4320 Owl Valley Dr,Ottawa,ON,K1V1L3,false,3,3,[object Object],false,,,[object Object],false,false,false,ForSale,For Sale (Broker),false,false,false,false,true,false,false,true,false,MLS® ID #X11927784,RE/MAX HALLMARK REALTY GROUP,"[object Object],[object Object],[object Object],[object Object],[object Object],[object Object],[object Object],[object Object],[object Object],[object Object],[object Object],[object Object],[object Object],[object Object],[object Object],[object Object],[object Object],[object Object],[object Object],[object Object],[object Object],[object Object],[object Object],[object Object],[object Object],[object Object],[object Object],[object Object],[object Object],[object Object]"
446229944,446229944,ForSale,For Sale by Agent,https://photos.zillowstatic.com/fp/2a837d7cf238f220b6820e54e66be731-p_e.jpg,true,https://www.zillow.com/homedetails/720-Wooler-Pl-Ottawa-ON-K1T-0T6/446229944_zpid/,FOR_SALE,House for sale,C$,"C$1,319,000",1319000,"720 Wooler Pl, Ottawa, ON K1T 0T6",720 Wooler Pl,Ottawa,ON,K1T0T6,false,4,4,[object Object],false,Expansive windows,homeInsight,[object Object],false,false,false,ForSale,For Sale (Broker),false,false,false,false,true,false,false,true,false,MLS® ID #X11939339,ROYAL LEPAGE PERFORMANCE REALTY,"[object Object],[object Object],[object Object],[object Object],[object Object],[object Object],[object Object],[object Object],[object Object],[object Object],[object Object],[object Object],[object Object],[object Object],[object Object],[object Object],[object Object],[object Object],[object Object],[object Object],[object Object],[object Object],[object Object],[object Object],[object Object],[object Object],[object Object],[object Object],[object Object],[object Object],[object Object],[object Object],[object Object],[object Object],[object Object],[object Object],[object Object]"
445997415,445997415,ForSale,For Sale by Agent,https://photos.zillowstatic.com/fp/83631b1b2ddd89d9f786c14f700913f7-p_e.jpg,true,https://www.zillow.com/homedetails/507-Ascender-Ave-Ottawa-ON-K1W-0R6/445997415_zpid/,FOR_SALE,House for sale,C$,"C$915,000",915000,"507 Ascender Ave, Ottawa, ON K1W 0R6",507 Ascender Ave,Ottawa,ON,K1W0R6,false,3,3,[object Object],false,3D Tour,threeDHome,[object Object],false,false,false,ForSale,For Sale (Broker),false,true,false,false,true,false,false,true,false,MLS® ID #X11934990,ONE PERCENT REALTY LTD.,"[object Object],[object Object],[object Object],[object Object],[object Object],[object Object],[object Object],[object Object],[object Object],[object Object],[object Object],[object Object],[object Object],[object Object],[object Object],[object Object],[object Object],[object Object],[object Object],[object Object],[object Object],[object Object],[object Object],[object Object],[object Object],[object Object],[object Object],[object Object],[object Object],[object Object],[object Object],[object Object],[object Object],[object Object],[object Object],[object Object],[object Object],[object Object]"
442655593,442655593,ForSale,For Sale by Agent,https://photos.zillowstatic.com/fp/e7af4da4ad747e4321deb0a0adc7e2eb-p_e.jpg,true,https://www.zillow.com/homedetails/6830-Harbour-St-Ottawa-ON-K0A-1X0/442655593_zpid/,FOR_SALE,Multi-family home for sale,C$,"C$250,000",250000,"6830 Harbour St, Ottawa, ON K0A 1X0",6830 Harbour St,Ottawa,ON,K0A1X0,false,,,[object Object],false,,,[object Object],false,false,false,ForSale,For Sale (Broker),false,false,false,false,true,false,false,true,false,MLS® ID #X10425959,RE/MAX HALLMARK REALTY GROUP,[object Object]
2055526044,2055526044,ForSale,For Sale by Agent,https://photos.zillowstatic.com/fp/c39b58aff3ae31416d866128bd3950b8-p_e.jpg,true,https://www.zillow.com/homedetails/515-Ruby-St-Clarence-Rockland-ON-K4K-0H5/2055526044_zpid/,FOR_SALE,House for sale,C$,"C$694,900",694900,"515 Ruby St, Clarence Rockland, ON K4K 0H5",515 Ruby St,Clarence Rockland,ON,K4K0H5,false,2,0,[object Object],false,Quartz counter top,homeInsight,[object Object],false,false,false,ForSale,For Sale (Broker),false,false,false,false,true,false,false,true,false,MLS® ID #X9505235,GRAPE VINE REALTY INC.,"[object Object],[object Object],[object Object],[object Object],[object Object],[object Object],[object Object],[object Object],[object Object],[object Object],[object Object],[object Object],[object Object],[object Object],[object Object],[object Object],[object Object],[object Object],[object Object],[object Object],[object Object],[object Object],[object Object],[object Object],[object Object],[object Object],[object Object],[object Object],[object Object],[object Object]"
