zpid,id,rawHomeStatusCd,marketingStatusSimplifiedCd,imgSrc,hasImage,detailUrl,statusType,statusText,countryCurrency,price,unformattedPrice,address,addressStreet,addressCity,addressState,addressZipcode,isUndisclosedAddress,beds,baths,latLong,isZillowOwned,flexFieldText,flexFieldType,hdpData,isSaved,isUserClaimingOwner,isUserConfirmedClaim,pgapt,sgapt,shouldShowZestimateAsPrice,has3DModel,hasVideo,isHomeRec,hasAdditionalAttributions,isFeaturedListing,isShowcaseListing,list,relaxed,info1String,brokerName,carouselPhotos
441798950,441798950,ForSale,For Sale by Agent,https://photos.zillowstatic.com/fp/e5e3f1986afe936f35d2ef1a077ccd48-p_e.jpg,true,https://www.zillow.com/homedetails/3796-Vaughan-St-Windsor-ON-N9C-1Z5/441798950_zpid/,FOR_SALE,House for sale,C$,"C$289,000",289000,"3796 Vaughan St, Windsor, ON N9C 1Z5",3796 Vaughan St,Windsor,ON,N9C1Z5,false,2,1,[object Object],false,Newer roof,homeInsight,[object Object],false,false,false,ForSale,For Sale (Broker),false,false,false,false,true,false,false,true,false,MLS® ID #24024450,Royal Lepage Binder Real Estate - 640 Brokerage,"[object Object],[object Object],[object Object],[object Object],[object Object],[object Object],[object Object],[object Object],[object Object],[object Object],[object Object],[object Object],[object Object],[object Object],[object Object],[object Object],[object Object],[object Object],[object Object],[object Object],[object Object],[object Object],[object Object]"
441200464,441200464,ForSale,For Sale by Agent,https://photos.zillowstatic.com/fp/eff0e6451cb45b2d381b4fef4b9b035f-p_e.jpg,true,https://www.zillow.com/homedetails/1694-George-Ave-Windsor-ON-N8Y-2Y6/441200464_zpid/,FOR_SALE,House for sale,C$,"C$299,987",299987,"1694 George Ave, Windsor, ON N8Y 2Y6",1694 George Ave,Windsor,ON,N8Y2Y6,false,3,2,[object Object],false,,,[object Object],false,false,false,ForSale,For Sale (Broker),false,false,false,false,true,false,false,true,false,MLS® ID #24023783,Re/Max Preferred Realty Ltd. - 586 Brokerage,"[object Object],[object Object],[object Object],[object Object],[object Object],[object Object],[object Object],[object Object],[object Object],[object Object],[object Object],[object Object],[object Object],[object Object],[object Object],[object Object],[object Object],[object Object],[object Object],[object Object],[object Object],[object Object],[object Object],[object Object],[object Object],[object Object],[object Object],[object Object],[object Object],[object Object]"
394629457,394629457,ForSale,For Sale by Agent,https://photos.zillowstatic.com/fp/02c9e6880e69e5c20ed85c3aefeeb1aa-p_e.jpg,true,https://www.zillow.com/homedetails/3150-McKay-Ave-Windsor-ON-N9E-2R3/394629457_zpid/,FOR_SALE,House for sale,C$,"C$499,900",499900,"3150 McKay Ave, Windsor, ON N9E 2R3",3150 McKay Ave,Windsor,ON,N9E2R3,false,6,2,[object Object],false,,,[object Object],false,false,false,ForSale,For Sale (Broker),false,false,false,false,true,false,false,true,false,MLS® ID #24020398,Manor Windsor Realty Ltd. - 455 Brokerage,"[object Object],[object Object],[object Object],[object Object],[object Object],[object Object],[object Object],[object Object],[object Object],[object Object],[object Object],[object Object],[object Object],[object Object],[object Object],[object Object],[object Object],[object Object],[object Object],[object Object],[object Object],[object Object],[object Object],[object Object],[object Object],[object Object],[object Object],[object Object],[object Object],[object Object],[object Object],[object Object],[object Object],[object Object],[object Object],[object Object],[object Object],[object Object],[object Object],[object Object],[object Object],[object Object],[object Object],[object Object],[object Object],[object Object],[object Object],[object Object],[object Object],[object Object]"
440702574,440702574,ForSale,For Sale by Agent,https://photos.zillowstatic.com/fp/5af7e655aa2785e475904252ca50fccf-p_e.jpg,true,https://www.zillow.com/homedetails/1024-Prado-Pl-Windsor-ON-N8S-2H7/440702574_zpid/,FOR_SALE,House for sale,C$,"C$329,900",329900,"1024 Prado Pl, Windsor, ON N8S 2H7",1024 Prado Pl,Windsor,ON,N8S2H7,false,3,1,[object Object],false,Fully fenced backyard,homeInsight,[object Object],false,false,false,ForSale,For Sale (Broker),false,false,false,false,true,false,false,true,false,MLS® ID #24021811,Deerbrook Realty Inc. - 175 Brokerage,"[object Object],[object Object],[object Object],[object Object],[object Object],[object Object],[object Object],[object Object],[object Object],[object Object],[object Object],[object Object],[object Object],[object Object],[object Object],[object Object],[object Object],[object Object],[object Object],[object Object],[object Object],[object Object],[object Object],[object Object],[object Object],[object Object],[object Object],[object Object],[object Object],[object Object],[object Object],[object Object],[object Object],[object Object],[object Object],[object Object],[object Object],[object Object]"
441167257,441167257,ForSale,For Sale by Agent,https://photos.zillowstatic.com/fp/69de54498a48553debf618364c990ae0-p_e.jpg,true,https://www.zillow.com/homedetails/1983-Ethan-Ct-Windsor-ON-N8T-0B3/441167257_zpid/,FOR_SALE,Townhouse for sale,C$,"C$499,999",499999,"1983 Ethan Ct, Windsor, ON N8T 0B3",1983 Ethan Ct,Windsor,ON,N8T0B3,false,3,2,[object Object],false,,,[object Object],false,false,false,ForSale,For Sale (Broker),false,false,false,false,true,false,false,true,false,MLS® ID #24023709,Keller Williams Lifestyles Realty Brokerage,"[object Object],[object Object],[object Object],[object Object],[object Object],[object Object],[object Object],[object Object],[object Object],[object Object],[object Object],[object Object],[object Object],[object Object],[object Object],[object Object],[object Object],[object Object],[object Object],[object Object],[object Object],[object Object],[object Object],[object Object],[object Object],[object Object],[object Object],[object Object],[object Object],[object Object]"
351804624,351804624,ForSale,For Sale by Agent,https://photos.zillowstatic.com/fp/bee10f5f2bc37fbee53f90600ef7ed33-p_e.jpg,true,https://www.zillow.com/homedetails/4789-Riverside-Dr-E-1304-Windsor-ON-N8Y-5A2/351804624_zpid/,FOR_SALE,Condo for sale,C$,"C$699,900",699900,"4789 Riverside Dr E #1304, Windsor, ON N8Y 5A2",4789 Riverside Dr E #1304,Windsor,ON,N8Y5A2,false,2,2,[object Object],false,Penthouse balcony,homeInsight,[object Object],false,false,false,ForSale,For Sale (Broker),false,false,false,false,true,false,false,true,false,MLS® ID #24023232,Jump Realty Inc. Brokerage,"[object Object],[object Object],[object Object],[object Object],[object Object],[object Object],[object Object],[object Object],[object Object],[object Object],[object Object],[object Object],[object Object],[object Object],[object Object],[object Object],[object Object],[object Object],[object Object],[object Object],[object Object],[object Object],[object Object],[object Object],[object Object],[object Object],[object Object],[object Object],[object Object],[object Object],[object Object],[object Object],[object Object],[object Object],[object Object],[object Object],[object Object],[object Object],[object Object],[object Object],[object Object],[object Object],[object Object],[object Object]"
440778976,440778976,ForSale,For Sale by Agent,https://photos.zillowstatic.com/fp/a8ada261648dc3c44147fa0b8086dd71-p_e.jpg,true,https://www.zillow.com/homedetails/2067-Willistead-Cres-Windsor-ON-N8Y-1K6/440778976_zpid/,FOR_SALE,House for sale,C$,"C$599,900",599900,"2067 Willistead Cres, Windsor, ON N8Y 1K6",2067 Willistead Cres,Windsor,ON,N8Y1K6,false,3,2,[object Object],false,Bright sun room,homeInsight,[object Object],false,false,false,ForSale,For Sale (Broker),false,false,false,false,true,false,false,true,false,MLS® ID #24022088,Deerbrook Realty Inc. - 175 Brokerage,"[object Object],[object Object],[object Object],[object Object],[object Object],[object Object],[object Object],[object Object],[object Object],[object Object],[object Object],[object Object],[object Object],[object Object],[object Object],[object Object],[object Object],[object Object],[object Object],[object Object],[object Object],[object Object],[object Object],[object Object],[object Object],[object Object],[object Object],[object Object],[object Object],[object Object],[object Object],[object Object],[object Object],[object Object],[object Object],[object Object],[object Object],[object Object],[object Object]"
347823660,347823660,ForSale,For Sale by Agent,https://photos.zillowstatic.com/fp/e1dfdf60acd40707c07c5b703e7da5fb-p_e.jpg,true,https://www.zillow.com/homedetails/935-Langlois-Ave-Windsor-ON-N9A-2H2/347823660_zpid/,FOR_SALE,House for sale,C$,"C$479,900",479900,"935 Langlois Ave, Windsor, ON N9A 2H2",935 Langlois Ave,Windsor,ON,N9A2H2,false,5,2,[object Object],false,Amazing in-law-suite set-up,homeInsight,[object Object],false,false,false,ForSale,For Sale (Broker),false,false,false,false,true,false,false,true,false,MLS® ID #24021096,Lc Platinum Realty Inc. - 525 Brokerage,"[object Object],[object Object],[object Object],[object Object],[object Object],[object Object],[object Object],[object Object],[object Object],[object Object],[object Object],[object Object],[object Object],[object Object],[object Object],[object Object],[object Object],[object Object],[object Object],[object Object],[object Object],[object Object],[object Object],[object Object],[object Object],[object Object],[object Object],[object Object],[object Object],[object Object],[object Object],[object Object],[object Object],[object Object],[object Object],[object Object],[object Object],[object Object],[object Object],[object Object],[object Object],[object Object],[object Object],[object Object],[object Object],[object Object],[object Object],[object Object],[object Object]"
2061722248,2061722248,ForSale,For Sale by Agent,https://photos.zillowstatic.com/fp/68eece1ea1ab18dc3c4a82c40c77c5ea-p_e.jpg,true,https://www.zillow.com/homedetails/1768-Tourangeau-Rd-Windsor-ON-N8Y-4J8/2061722248_zpid/,FOR_SALE,House for sale,C$,"C$339,900",339900,"1768 Tourangeau Rd, Windsor, ON N8Y 4J8",1768 Tourangeau Rd,Windsor,ON,N8Y4J8,false,2,1,[object Object],false,Peaceful retreat,homeInsight,[object Object],false,false,false,ForSale,For Sale (Broker),false,false,false,false,true,false,false,true,false,MLS® ID #24024135,Coldwell Banker Urban Realty Brokerage Brokerage,"[object Object],[object Object],[object Object],[object Object],[object Object],[object Object],[object Object],[object Object],[object Object],[object Object],[object Object],[object Object],[object Object],[object Object],[object Object],[object Object],[object Object],[object Object],[object Object],[object Object],[object Object],[object Object],[object Object],[object Object],[object Object]"
2057505485,2057505485,ForSale,For Sale by Agent,https://photos.zillowstatic.com/fp/6246df0147ac2c7057f3ad4ec87b4071-p_e.jpg,true,https://www.zillow.com/homedetails/1015-Elm-Ave-Windsor-ON-N9A-5H8/2057505485_zpid/,FOR_SALE,House for sale,C$,"C$324,900",324900,"1015 Elm Ave, Windsor, ON N9A 5H8",1015 Elm Ave,Windsor,ON,N9A5H8,false,4,2,[object Object],false,Stunning hardwood floors,homeInsight,[object Object],false,false,false,ForSale,For Sale (Broker),false,false,false,false,true,false,false,true,false,MLS® ID #24019067,Lc Platinum Realty Inc. - 525 Brokerage,"[object Object],[object Object],[object Object],[object Object],[object Object],[object Object],[object Object],[object Object],[object Object],[object Object],[object Object],[object Object],[object Object],[object Object],[object Object],[object Object],[object Object],[object Object],[object Object],[object Object],[object Object],[object Object],[object Object],[object Object]"
