zpid,id,rawHomeStatusCd,marketingStatusSimplifiedCd,imgSrc,hasImage,detailUrl,statusType,statusText,countryCurrency,price,unformattedPrice,address,addressStreet,addressCity,addressState,addressZipcode,isUndisclosedAddress,beds,baths,latLong,isZillowOwned,hdpData,isSaved,isUserClaimingOwner,isUserConfirmedClaim,pgapt,sgapt,shouldShowZestimateAsPrice,has3DModel,hasVideo,isHomeRec,hasAdditionalAttributions,isFeaturedListing,isShowcaseListing,list,relaxed,info1String,brokerName,carouselPhotos
2053515654,2053515654,ForSale,For Sale by Agent,https://photos.zillowstatic.com/fp/8a8aaa1f5e423fab3b29a99235e61d91-p_e.jpg,true,https://www.zillow.com/homedetails/1454-Aubin-Rd-Windsor-ON-N8Y-4E9/2053515654_zpid/,FOR_SALE,House for sale,C$,"C$469,000",469000,"1454 Aubin Rd, Windsor, ON N8Y 4E9",1454 Aubin Rd,Windsor,ON,N8Y4E9,false,4,3,[object Object],false,[object Object],false,false,false,ForSale,For Sale (Broker),false,false,false,false,true,false,false,true,false,MLS® ID #24023386,Re/Max Care Realty - 828 Brokerage,"[object Object],[object Object],[object Object],[object Object],[object Object],[object Object],[object Object],[object Object],[object Object],[object Object],[object Object],[object Object],[object Object],[object Object],[object Object],[object Object],[object Object],[object Object],[object Object],[object Object],[object Object],[object Object],[object Object],[object Object],[object Object],[object Object],[object Object],[object Object],[object Object],[object Object]"
349891772,349891772,ForSale,For Sale by Agent,https://photos.zillowstatic.com/fp/102f88e914fa0cdfcb370bfd6ec3ac60-p_e.jpg,true,https://www.zillow.com/homedetails/627-Assumption-St-Windsor-ON-N9A-3B5/349891772_zpid/,FOR_SALE,House for sale,C$,"C$349,900",349900,"627 Assumption St, Windsor, ON N9A 3B5",627 Assumption St,Windsor,ON,N9A3B5,false,3,2,[object Object],false,[object Object],false,false,false,ForSale,For Sale (Broker),false,false,false,false,true,false,false,true,false,MLS® ID #24023561,Re/Max Capital Diamond Realty - 821 Brokerage,"[object Object],[object Object],[object Object],[object Object],[object Object],[object Object],[object Object],[object Object],[object Object],[object Object],[object Object],[object Object],[object Object],[object Object],[object Object],[object Object],[object Object],[object Object],[object Object]"
2056351889,2056351889,ForSale,For Sale by Agent,https://photos.zillowstatic.com/fp/e8178ba9b9dc7bd4222e5388896f8687-p_e.jpg,true,https://www.zillow.com/homedetails/1171-Windermere-Rd-Windsor-ON-N8Y-3E7/2056351889_zpid/,FOR_SALE,House for sale,C$,"C$339,900",339900,"1171 Windermere Rd, Windsor, ON N8Y 3E7",1171 Windermere Rd,Windsor,ON,N8Y3E7,false,3,1,[object Object],false,[object Object],false,false,false,ForSale,For Sale (Broker),false,false,false,false,true,false,false,true,false,MLS® ID #24016883,Jump Realty Inc. Brokerage,"[object Object],[object Object],[object Object],[object Object],[object Object],[object Object],[object Object],[object Object],[object Object],[object Object],[object Object],[object Object],[object Object],[object Object],[object Object],[object Object],[object Object],[object Object],[object Object],[object Object],[object Object],[object Object],[object Object],[object Object],[object Object]"
440008164,440008164,ForSale,For Sale by Agent,https://photos.zillowstatic.com/fp/87fe93d5ba5335cce79d06baa76b659f-p_e.jpg,true,https://www.zillow.com/homedetails/4190-Roseland-Dr-E-Windsor-ON-N9G-1Y7/440008164_zpid/,FOR_SALE,House for sale,C$,"C$799,900",799900,"4190 Roseland Dr E, Windsor, ON N9G 1Y7",4190 Roseland Dr E,Windsor,ON,N9G1Y7,false,4,3,[object Object],false,[object Object],false,false,false,ForSale,For Sale (Broker),false,false,false,false,true,false,false,true,false,MLS® ID #24020366,Royal Lepage Binder Real Estate - 640 Brokerage,"[object Object],[object Object],[object Object],[object Object],[object Object],[object Object],[object Object],[object Object],[object Object],[object Object],[object Object],[object Object],[object Object],[object Object],[object Object],[object Object],[object Object],[object Object],[object Object],[object Object],[object Object],[object Object],[object Object],[object Object],[object Object],[object Object],[object Object],[object Object],[object Object],[object Object],[object Object],[object Object],[object Object],[object Object],[object Object],[object Object],[object Object],[object Object],[object Object],[object Object]"
440332013,440332013,ForSale,For Sale by Agent,https://photos.zillowstatic.com/fp/fe9f84d7429b29161b7347f8761eeb8b-p_e.jpg,true,https://www.zillow.com/homedetails/2517-Dandurand-Ave-Windsor-ON-N9E-2E1/440332013_zpid/,FOR_SALE,House for sale,C$,"C$499,900",499900,"2517 Dandurand Ave, Windsor, ON N9E 2E1",2517 Dandurand Ave,Windsor,ON,N9E2E1,false,5,2,[object Object],false,[object Object],false,false,false,ForSale,For Sale (Broker),false,false,false,false,true,false,false,true,false,MLS® ID #24020392,Ideal: A Boutique Real Estate Brokerage Inc Brokerage,"[object Object],[object Object],[object Object],[object Object],[object Object],[object Object],[object Object],[object Object],[object Object],[object Object],[object Object],[object Object],[object Object],[object Object]"
2055884279,2055884279,ForSale,For Sale by Agent,https://photos.zillowstatic.com/fp/bc8cc4aaa4e17a9ed1d6797298788181-p_e.jpg,true,https://www.zillow.com/homedetails/1561-Armanda-St-Windsor-ON-N9C-3X1/2055884279_zpid/,FOR_SALE,House for sale,C$,"C$749,000",749000,"1561 Armanda St, Windsor, ON N9C 3X1",1561 Armanda St,Windsor,ON,N9C3X1,false,3,1,[object Object],false,[object Object],false,false,false,ForSale,For Sale (Broker),false,false,false,false,true,false,false,true,false,MLS® ID #24019742,Jump Realty Inc. Brokerage,"[object Object],[object Object],[object Object],[object Object],[object Object],[object Object],[object Object],[object Object],[object Object],[object Object],[object Object],[object Object],[object Object],[object Object],[object Object],[object Object],[object Object],[object Object],[object Object],[object Object],[object Object],[object Object],[object Object],[object Object],[object Object],[object Object],[object Object],[object Object],[object Object],[object Object],[object Object]"
2067584570,2067584570,ForSale,For Sale by Agent,https://photos.zillowstatic.com/fp/22def0049eba66c7fef7690265e3bb40-p_e.jpg,true,https://www.zillow.com/homedetails/858-Matthew-Brady-Blvd-Windsor-ON-N8S-3J8/2067584570_zpid/,FOR_SALE,House for sale,C$,"C$399,000",399000,"858 Matthew Brady Blvd, Windsor, ON N8S 3J8",858 Matthew Brady Blvd,Windsor,ON,N8S3J8,false,4,1,[object Object],false,[object Object],false,false,false,ForSale,For Sale (Broker),false,false,false,false,true,false,false,true,false,MLS® ID #40632750,EARN MAX REALTY POINT,"[object Object],[object Object],[object Object],[object Object],[object Object],[object Object],[object Object],[object Object],[object Object],[object Object],[object Object],[object Object],[object Object],[object Object],[object Object]"
2064103661,2064103661,ForSale,For Sale by Agent,https://photos.zillowstatic.com/fp/cde053885684d10789db36a77616ad5c-p_e.jpg,true,https://www.zillow.com/homedetails/1562-Richmond-St-Windsor-ON-N9A-4B2/2064103661_zpid/,FOR_SALE,House for sale,C$,"C$399,999",399999,"1562 Richmond St, Windsor, ON N9A 4B2",1562 Richmond St,Windsor,ON,N9A4B2,false,3,2,[object Object],false,[object Object],false,false,false,ForSale,For Sale (Broker),false,false,false,false,true,false,false,true,false,MLS® ID #24013603,Jump Realty Inc. Brokerage,"[object Object],[object Object],[object Object],[object Object],[object Object],[object Object],[object Object],[object Object],[object Object],[object Object],[object Object],[object Object],[object Object],[object Object],[object Object],[object Object],[object Object],[object Object],[object Object],[object Object],[object Object],[object Object],[object Object],[object Object],[object Object],[object Object],[object Object],[object Object],[object Object],[object Object],[object Object],[object Object],[object Object]"
348319130,348319130,ForSale,For Sale by Agent,https://photos.zillowstatic.com/fp/5a88a4c31e82234580e621438d16d2c4-p_e.jpg,true,https://www.zillow.com/homedetails/2701-Dandurand-Ave-Windsor-ON-N9E-2E2/348319130_zpid/,FOR_SALE,House for sale,C$,"C$799,000",799000,"2701 Dandurand Ave, Windsor, ON N9E 2E2",2701 Dandurand Ave,Windsor,ON,N9E2E2,false,5,3,[object Object],false,[object Object],false,false,false,ForSale,For Sale (Broker),false,false,false,false,true,false,false,true,false,MLS® ID #24008554,Re/Max Care Realty - 828 Brokerage,"[object Object],[object Object],[object Object],[object Object],[object Object],[object Object],[object Object],[object Object],[object Object],[object Object],[object Object],[object Object],[object Object],[object Object],[object Object],[object Object],[object Object],[object Object],[object Object],[object Object],[object Object],[object Object],[object Object],[object Object],[object Object],[object Object],[object Object],[object Object],[object Object],[object Object],[object Object],[object Object],[object Object],[object Object],[object Object],[object Object],[object Object],[object Object],[object Object],[object Object],[object Object],[object Object],[object Object],[object Object],[object Object],[object Object],[object Object],[object Object]"
440742283,440742283,ForSale,For Sale by Agent,https://photos.zillowstatic.com/fp/6e3732d05b524f48e5ee224344610fa6-p_e.jpg,true,https://www.zillow.com/homedetails/424-Erie-St-W-Windsor-ON-N9A-6B9/440742283_zpid/,FOR_SALE,House for sale,C$,"C$379,000",379000,"424 Erie St W, Windsor, ON N9A 6B9",424 Erie St W,Windsor,ON,N9A6B9,false,4,2,[object Object],false,[object Object],false,false,false,ForSale,For Sale (Broker),false,false,false,false,true,false,false,true,false,MLS® ID #24024093,Royal Lepage Binder Real Estate - 640 Brokerage,"[object Object],[object Object],[object Object],[object Object],[object Object],[object Object],[object Object],[object Object],[object Object],[object Object],[object Object],[object Object],[object Object],[object Object],[object Object],[object Object],[object Object],[object Object],[object Object],[object Object],[object Object],[object Object],[object Object],[object Object],[object Object],[object Object]"
