zpid,id,rawHomeStatusCd,marketingStatusSimplifiedCd,imgSrc,hasImage,detailUrl,statusType,statusText,countryCurrency,price,unformattedPrice,address,addressStreet,addressCity,addressState,addressZipcode,isUndisclosedAddress,beds,baths,latLong,isZillowOwned,flexFieldText,flexFieldType,hdpData,isSaved,isUserClaimingOwner,isUserConfirmedClaim,pgapt,sgapt,shouldShowZestimateAsPrice,has3DModel,hasVideo,isHomeRec,hasAdditionalAttributions,isFeaturedListing,isShowcaseListing,list,relaxed,info1String,brokerName,carouselPhotos
441823394,441823394,ForSale,For Sale by Agent,https://photos.zillowstatic.com/fp/e597f810a309e96a711501fa2e67a04d-p_e.jpg,true,https://www.zillow.com/homedetails/610-Vanier-St-Windsor-ON-N8X-3E3/441823394_zpid/,FOR_SALE,House for sale,C$,"C$259,900",259900,"610 Vanier St, Windsor, ON N8X 3E3",610 Vanier St,Windsor,ON,N8X3E3,false,4,2,[object Object],false,Detached car garage,homeInsight,[object Object],false,false,false,ForSale,For Sale (Broker),false,false,false,false,true,false,false,true,false,MLS® ID #24024608,Deerbrook Realty Inc. - 175 Brokerage,"[object Object],[object Object],[object Object],[object Object],[object Object],[object Object],[object Object],[object Object],[object Object],[object Object],[object Object],[object Object],[object Object],[object Object],[object Object],[object Object],[object Object],[object Object],[object Object],[object Object],[object Object],[object Object],[object Object],[object Object],[object Object],[object Object],[object Object],[object Object],[object Object],[object Object],[object Object]"
441946441,441946441,ForSale,For Sale by Agent,https://photos.zillowstatic.com/fp/bf82bac074d701d3bdb86a307fc294c3-p_e.jpg,true,https://www.zillow.com/homedetails/2515-Meighen-Rd-Windsor-ON-N8W-4C3/441946441_zpid/,FOR_SALE,House for sale,C$,"C$359,900",359900,"2515 Meighen Rd, Windsor, ON N8W 4C3",2515 Meighen Rd,Windsor,ON,N8W4C3,false,2,2,[object Object],false,Open: Sun 1-3pm (10/27),openHouse,[object Object],false,false,false,ForSale,For Sale (Broker),false,false,false,false,true,false,false,true,false,MLS® ID #24024903,Royal Lepage Binder Real Estate Brokerage,"[object Object],[object Object],[object Object],[object Object],[object Object],[object Object],[object Object],[object Object],[object Object],[object Object],[object Object],[object Object],[object Object],[object Object],[object Object],[object Object],[object Object]"
441805728,441805728,ForSale,For Sale by Agent,https://photos.zillowstatic.com/fp/4327e65d454f3893be5060cbab3dedf3-p_e.jpg,true,https://www.zillow.com/homedetails/1557-Central-Ave-Windsor-ON-N8Y-3V7/441805728_zpid/,FOR_SALE,House for sale,C$,"C$349,900",349900,"1557 Central Ave, Windsor, ON N8Y 3V7",1557 Central Ave,Windsor,ON,N8Y3V7,false,4,2,[object Object],false,Separate side entrance,homeInsight,[object Object],false,false,false,ForSale,For Sale (Broker),false,false,false,false,true,false,false,true,false,MLS® ID #24024529,Re/Max Care Realty - 828 Brokerage,"[object Object],[object Object],[object Object],[object Object],[object Object],[object Object],[object Object],[object Object],[object Object],[object Object],[object Object],[object Object],[object Object],[object Object],[object Object],[object Object],[object Object],[object Object],[object Object],[object Object],[object Object],[object Object],[object Object],[object Object],[object Object],[object Object],[object Object],[object Object],[object Object],[object Object],[object Object],[object Object],[object Object],[object Object],[object Object],[object Object],[object Object],[object Object],[object Object],[object Object],[object Object],[object Object],[object Object],[object Object],[object Object],[object Object],[object Object],[object Object],[object Object],[object Object]"
440401872,440401872,ForSale,For Sale by Agent,https://photos.zillowstatic.com/fp/ee50f71bbe9c9a9cbb1f046be07273f7-p_e.jpg,true,https://www.zillow.com/homedetails/3000-Sandwich-St-104-Windsor-ON-N9C-4G3/440401872_zpid/,FOR_SALE,Condo for sale,C$,"C$309,900",309900,"3000 Sandwich St #104, Windsor, ON N9C 4G3",3000 Sandwich St #104,Windsor,ON,N9C4G3,false,2,2,[object Object],false,Spectacular views,homeInsight,[object Object],false,false,false,ForSale,For Sale (Broker),false,false,false,false,true,false,false,true,false,MLS® ID #24021287,Deerbrook Realty Inc. - 175 Brokerage,"[object Object],[object Object],[object Object],[object Object],[object Object],[object Object],[object Object],[object Object],[object Object],[object Object],[object Object],[object Object],[object Object],[object Object],[object Object],[object Object],[object Object],[object Object],[object Object],[object Object],[object Object],[object Object],[object Object],[object Object],[object Object],[object Object],[object Object]"
441636928,441636928,ForSale,For Sale by Agent,https://photos.zillowstatic.com/fp/85097e9a8eea7c17284aafe160c3d742-p_e.jpg,true,https://www.zillow.com/homedetails/877-Hall-Ave-Windsor-ON-N9A-2M2/441636928_zpid/,FOR_SALE,House for sale,C$,"C$249,999",249999,"877 Hall Ave, Windsor, ON N9A 2M2",877 Hall Ave,Windsor,ON,N9A2M2,false,4,2,[object Object],false,Generously sized bedroom,homeInsight,[object Object],false,false,false,ForSale,For Sale (Broker),false,false,false,false,true,false,false,true,false,MLS® ID #24024065,Jump Realty Inc. Brokerage,"[object Object],[object Object],[object Object],[object Object],[object Object],[object Object],[object Object],[object Object],[object Object],[object Object],[object Object],[object Object],[object Object],[object Object],[object Object],[object Object],[object Object],[object Object],[object Object]"
441865769,441865769,ForSale,For Sale by Agent,https://photos.zillowstatic.com/fp/4641a24efcc25f633bcc407070a47431-p_e.jpg,true,https://www.zillow.com/homedetails/3950-Myrtle-Ave-Windsor-ON-N9C-4A3/441865769_zpid/,FOR_SALE,House for sale,C$,"C$499,000",499000,"3950 Myrtle Ave, Windsor, ON N9C 4A3",3950 Myrtle Ave,Windsor,ON,N9C4A3,false,4,2,[object Object],false,Tree-lined cul-de-sac,homeInsight,[object Object],false,false,false,ForSale,For Sale (Broker),false,false,false,false,true,false,false,true,false,MLS® ID #24024746,Re/Max Care Realty - 828 Brokerage,"[object Object],[object Object],[object Object],[object Object],[object Object],[object Object],[object Object],[object Object],[object Object],[object Object],[object Object],[object Object],[object Object],[object Object],[object Object],[object Object],[object Object],[object Object],[object Object],[object Object],[object Object],[object Object],[object Object],[object Object],[object Object],[object Object],[object Object],[object Object],[object Object],[object Object],[object Object],[object Object],[object Object],[object Object],[object Object],[object Object],[object Object],[object Object]"
440497612,440497612,ForSale,For Sale by Agent,https://photos.zillowstatic.com/fp/c964bd1f72a91053b1574a8913fa4c2f-p_e.jpg,true,https://www.zillow.com/homedetails/1063-Hickory-Rd-Windsor-ON-N8Y-3S2/440497612_zpid/,FOR_SALE,House for sale,C$,"C$249,900",249900,"1063 Hickory Rd, Windsor, ON N8Y 3S2",1063 Hickory Rd,Windsor,ON,N8Y3S2,false,3,1,[object Object],false,,,[object Object],false,false,false,ForSale,For Sale (Broker),false,false,false,false,true,false,false,true,false,MLS® ID #24022067,Pinnacle Plus Realty Ltd. Brokerage,"[object Object],[object Object],[object Object],[object Object],[object Object],[object Object],[object Object],[object Object],[object Object],[object Object],[object Object],[object Object],[object Object],[object Object],[object Object],[object Object],[object Object],[object Object],[object Object],[object Object],[object Object],[object Object],[object Object]"
441843964,441843964,ForSale,For Sale by Agent,https://photos.zillowstatic.com/fp/8cc11de65bb8541654339052a89ca031-p_e.jpg,true,https://www.zillow.com/homedetails/1272-Virginia-Ave-Windsor-ON-N8S-2Z2/441843964_zpid/,FOR_SALE,House for sale,C$,"C$499,900",499900,"1272 Virginia Ave, Windsor, ON N8S 2Z2",1272 Virginia Ave,Windsor,ON,N8S2Z2,false,4,2,[object Object],false,Formal dining area,homeInsight,[object Object],false,false,false,ForSale,For Sale (Broker),false,false,false,false,true,false,false,true,false,MLS® ID #24024688,Re/Max Preferred Realty Ltd. - 585 Brokerage,"[object Object],[object Object],[object Object],[object Object],[object Object],[object Object],[object Object],[object Object],[object Object],[object Object],[object Object],[object Object],[object Object],[object Object],[object Object],[object Object],[object Object],[object Object],[object Object],[object Object],[object Object],[object Object],[object Object],[object Object],[object Object],[object Object],[object Object],[object Object],[object Object],[object Object],[object Object],[object Object],[object Object],[object Object],[object Object],[object Object],[object Object],[object Object],[object Object]"
2064726139,2064726139,ForSale,For Sale by Agent,https://photos.zillowstatic.com/fp/2107646dee19fe08c7c3ce851934a5ca-p_e.jpg,true,https://www.zillow.com/homedetails/1468-Everts-Ave-Windsor-ON-N9B-3E3/2064726139_zpid/,FOR_SALE,House for sale,C$,"C$499,900",499900,"1468 Everts Ave, Windsor, ON N9B 3E3",1468 Everts Ave,Windsor,ON,N9B3E3,false,3,1,[object Object],false,Modernized insulation,homeInsight,[object Object],false,false,false,ForSale,For Sale (Broker),false,false,false,false,true,false,false,true,false,MLS® ID #24025048,Real Broker Ontario Ltd Brokerage,[object Object]
2062340170,2062340170,ForSale,For Sale by Agent,https://photos.zillowstatic.com/fp/d10edfd4944378a9c418c8abf9ad7e56-p_e.jpg,true,https://www.zillow.com/homedetails/327-Lincoln-Rd-Windsor-ON-N8Y-2G3/2062340170_zpid/,FOR_SALE,House for sale,C$,"C$399,900",399900,"327 Lincoln Rd, Windsor, ON N8Y 2G3",327 Lincoln Rd,Windsor,ON,N8Y2G3,false,3,2,[object Object],false,,,[object Object],false,false,false,ForSale,For Sale (Broker),false,false,false,false,true,false,false,true,false,MLS® ID #24021733,Re/Max Care Realty - 828 Brokerage,"[object Object],[object Object],[object Object],[object Object],[object Object],[object Object],[object Object],[object Object],[object Object],[object Object],[object Object],[object Object],[object Object],[object Object],[object Object],[object Object],[object Object],[object Object],[object Object],[object Object],[object Object],[object Object],[object Object],[object Object],[object Object],[object Object],[object Object],[object Object],[object Object],[object Object],[object Object],[object Object],[object Object],[object Object],[object Object],[object Object],[object Object],[object Object]"
441821556,441821556,ForSale,For Sale by Agent,https://photos.zillowstatic.com/fp/142338756f04d0558c105184136d1ef5-p_e.jpg,true,https://www.zillow.com/homedetails/3221-Everts-Ave-Windsor-ON-N9E-2V7/441821556_zpid/,FOR_SALE,House for sale,C$,"C$449,900",449900,"3221 Everts Ave, Windsor, ON N9E 2V7",3221 Everts Ave,Windsor,ON,N9E2V7,false,3,2,[object Object],false,Charming bungalow,homeInsight,[object Object],false,false,false,ForSale,For Sale (Broker),false,false,false,false,true,false,false,true,false,MLS® ID #24024503,Royal Lepage Binder Real Estate - 634 Brokerage,"[object Object],[object Object],[object Object],[object Object],[object Object],[object Object],[object Object],[object Object],[object Object],[object Object],[object Object],[object Object],[object Object],[object Object],[object Object],[object Object],[object Object],[object Object],[object Object],[object Object],[object Object],[object Object],[object Object],[object Object],[object Object],[object Object],[object Object],[object Object],[object Object],[object Object],[object Object],[object Object],[object Object],[object Object],[object Object],[object Object],[object Object],[object Object],[object Object],[object Object],[object Object],[object Object],[object Object],[object Object],[object Object]"
441823972,441823972,ForSale,For Sale by Agent,https://photos.zillowstatic.com/fp/274b9d8369b9973a8c623af0cef3a389-p_e.jpg,true,https://www.zillow.com/homedetails/561-Ellis-St-E-Windsor-ON-N8X-2H4/441823972_zpid/,FOR_SALE,House for sale,C$,"C$299,900",299900,"561 Ellis St E, Windsor, ON N8X 2H4",561 Ellis St E,Windsor,ON,N8X2H4,false,4,2,[object Object],false,,,[object Object],false,false,false,ForSale,For Sale (Broker),false,false,false,false,true,false,false,true,false,MLS® ID #24024621,Pinnacle Plus Realty Ltd. Brokerage,"[object Object],[object Object],[object Object],[object Object],[object Object],[object Object],[object Object],[object Object],[object Object],[object Object],[object Object],[object Object]"
441745580,441745580,ForSale,For Sale by Agent,https://photos.zillowstatic.com/fp/7adcefbf8bd9a4faf55065a162021967-p_e.jpg,true,https://www.zillow.com/homedetails/2237-Church-St-Windsor-ON-N8X-1W1/441745580_zpid/,FOR_SALE,House for sale,C$,"C$399,900",399900,"2237 Church St, Windsor, ON N8X 1W1",2237 Church St,Windsor,ON,N8X1W1,false,5,2,[object Object],false,Natural fireplace,homeInsight,[object Object],false,false,false,ForSale,For Sale (Broker),false,false,false,false,true,false,false,true,false,MLS® ID #24024339,Re/Max Care Realty - 828 Brokerage,"[object Object],[object Object],[object Object],[object Object],[object Object],[object Object],[object Object],[object Object],[object Object],[object Object],[object Object],[object Object],[object Object],[object Object],[object Object],[object Object],[object Object],[object Object],[object Object],[object Object],[object Object],[object Object],[object Object],[object Object],[object Object],[object Object],[object Object],[object Object],[object Object],[object Object],[object Object],[object Object],[object Object],[object Object],[object Object],[object Object],[object Object],[object Object],[object Object],[object Object],[object Object],[object Object],[object Object],[object Object],[object Object],[object Object],[object Object],[object Object],[object Object]"
441200219,441200219,ForSale,For Sale by Agent,https://photos.zillowstatic.com/fp/323808ae52a816fe9700379c7d9d5f9b-p_e.jpg,true,https://www.zillow.com/homedetails/2558-Gladstone-Ave-Windsor-ON-N8W-2P3/441200219_zpid/,FOR_SALE,House for sale,C$,"C$599,000",599000,"2558 Gladstone Ave, Windsor, ON N8W 2P3",2558 Gladstone Ave,Windsor,ON,N8W2P3,false,3,3,[object Object],false,,,[object Object],false,false,false,ForSale,For Sale (Broker),false,false,false,false,true,false,false,true,false,MLS® ID #24023787,Royal Lepage Binder Real Estate - 634 Brokerage,"[object Object],[object Object],[object Object],[object Object],[object Object],[object Object],[object Object],[object Object],[object Object],[object Object],[object Object],[object Object],[object Object],[object Object],[object Object],[object Object],[object Object],[object Object],[object Object],[object Object],[object Object],[object Object],[object Object],[object Object],[object Object],[object Object],[object Object],[object Object],[object Object],[object Object],[object Object],[object Object],[object Object],[object Object],[object Object],[object Object],[object Object],[object Object],[object Object],[object Object],[object Object],[object Object],[object Object],[object Object],[object Object]"
2062177970,2062177970,ForSale,For Sale by Agent,https://photos.zillowstatic.com/fp/7b29347c4f023c1691752aafa8e40800-p_e.jpg,true,https://www.zillow.com/homedetails/8210-Riverside-Dr-E-Windsor-ON-N8S-1E6/2062177970_zpid/,FOR_SALE,House for sale,C$,"C$1,249,000",1249000,"8210 Riverside Dr E, Windsor, ON N8S 1E6",8210 Riverside Dr E,Windsor,ON,N8S1E6,false,3,3,[object Object],false,,,[object Object],false,false,false,ForSale,For Sale (Broker),false,false,false,false,true,false,false,true,false,MLS® ID #24024185,Deerbrook Realty Inc. - 175 Brokerage,"[object Object],[object Object],[object Object],[object Object],[object Object],[object Object],[object Object],[object Object],[object Object],[object Object],[object Object],[object Object],[object Object],[object Object],[object Object],[object Object],[object Object],[object Object],[object Object],[object Object],[object Object],[object Object],[object Object],[object Object],[object Object],[object Object],[object Object],[object Object],[object Object],[object Object],[object Object],[object Object],[object Object],[object Object],[object Object],[object Object],[object Object],[object Object],[object Object],[object Object],[object Object],[object Object],[object Object],[object Object],[object Object],[object Object],[object Object],[object Object],[object Object]"
441823555,441823555,ForSale,For Sale by Agent,https://photos.zillowstatic.com/fp/b9746085532a0bddc82fedd2cc8a13aa-p_e.jpg,true,https://www.zillow.com/homedetails/496-Dougall-Ave-Windsor-ON-N9A-4P6/441823555_zpid/,FOR_SALE,House for sale,C$,"C$299,900",299900,"496 Dougall Ave, Windsor, ON N9A 4P6",496 Dougall Ave,Windsor,ON,N9A4P6,false,2,1,[object Object],false,Full basement,homeInsight,[object Object],false,false,false,ForSale,For Sale (Broker),false,false,false,false,true,false,false,true,false,MLS® ID #24024612,Pinnacle Plus Realty Ltd. Brokerage,"[object Object],[object Object],[object Object],[object Object],[object Object],[object Object],[object Object],[object Object],[object Object],[object Object],[object Object],[object Object],[object Object],[object Object],[object Object],[object Object],[object Object],[object Object],[object Object],[object Object],[object Object],[object Object],[object Object],[object Object],[object Object],[object Object]"
