zpid,id,rawHomeStatusCd,marketingStatusSimplifiedCd,imgSrc,hasImage,detailUrl,statusType,statusText,countryCurrency,price,unformattedPrice,address,addressStreet,addressCity,addressState,addressZipcode,isUndisclosedAddress,latLong,isZillowOwned,flexFieldText,flexFieldType,hdpData,isSaved,isUserClaimingOwner,isUserConfirmedClaim,pgapt,sgapt,shouldShowZestimateAsPrice,has3DModel,hasVideo,isHomeRec,hasAdditionalAttributions,isFeaturedListing,isShowcaseListing,list,relaxed,info1String,brokerName,carouselPhotos
420669199,420669199,ForSale,For Sale by Agent,https://photos.zillowstatic.com/fp/e4462cf02d221a70a9ec84afe23e2882-p_e.jpg,true,https://www.zillow.com/homedetails/1806-Saint-Luke-Rd-Windsor-ON-N8W-3W7/420669199_zpid/,FOR_SALE,House for sale,C$,"C$349,900",349900,"1806 Saint Luke Rd, Windsor, ON N8W 3W7",1806 Saint Luke Rd,Windsor,ON,N8W3W7,false,[object Object],false,,,[object Object],false,false,false,ForSale,For Sale (Broker),false,false,false,false,true,false,false,true,false,MLS® ID #24020931,Deerbrook Realty Inc. - 175 Brokerage,"[object Object],[object Object],[object Object],[object Object],[object Object],[object Object],[object Object],[object Object],[object Object],[object Object],[object Object],[object Object],[object Object],[object Object],[object Object],[object Object],[object Object],[object Object],[object Object],[object Object],[object Object],[object Object],[object Object],[object Object],[object Object],[object Object],[object Object],[object Object]"
2062486339,2062486339,ForSale,For Sale by Agent,https://photos.zillowstatic.com/fp/cef0c78fb1d7c8f273580f317ba913aa-p_e.jpg,true,https://www.zillow.com/homedetails/1542-Church-St-Windsor-ON-N8X-1V3/2062486339_zpid/,FOR_SALE,Multi-family home for sale,C$,"C$399,000",399000,"1542 Church St, Windsor, ON N8X 1V3",1542 Church St,Windsor,ON,N8X1V3,false,[object Object],false,,,[object Object],false,false,false,ForSale,For Sale (Broker),false,false,false,false,true,false,false,true,false,MLS® ID #24026176,Re/Max Care Realty - 828 Brokerage,"[object Object],[object Object],[object Object],[object Object],[object Object],[object Object],[object Object],[object Object],[object Object],[object Object],[object Object],[object Object],[object Object],[object Object],[object Object],[object Object],[object Object],[object Object],[object Object],[object Object],[object Object],[object Object],[object Object],[object Object],[object Object],[object Object],[object Object],[object Object],[object Object],[object Object],[object Object],[object Object],[object Object],[object Object],[object Object],[object Object],[object Object],[object Object],[object Object],[object Object]"
353299444,353299444,ForSale,For Sale by Agent,https://photos.zillowstatic.com/fp/527a7afb02ff8db2054082cade98ab98-p_e.jpg,true,https://www.zillow.com/homedetails/1640-Grand-Marais-Rd-E-Windsor-ON-N8W-1W2/353299444_zpid/,FOR_SALE,House for sale,C$,"C$579,900",579900,"1640 Grand Marais Rd E, Windsor, ON N8W 1W2",1640 Grand Marais Rd E,Windsor,ON,N8W1W2,false,[object Object],false,,,[object Object],false,false,false,ForSale,For Sale (Broker),false,false,false,false,true,false,false,true,false,MLS® ID #24024327,Re/Max Capital Diamond Realty - 821 Brokerage,"[object Object],[object Object],[object Object],[object Object],[object Object],[object Object],[object Object],[object Object],[object Object],[object Object],[object Object],[object Object],[object Object],[object Object],[object Object],[object Object],[object Object],[object Object],[object Object],[object Object],[object Object],[object Object],[object Object],[object Object],[object Object],[object Object],[object Object],[object Object],[object Object],[object Object],[object Object],[object Object],[object Object],[object Object],[object Object],[object Object],[object Object],[object Object],[object Object],[object Object],[object Object],[object Object],[object Object],[object Object],[object Object],[object Object]"
441579985,441579985,ForSale,For Sale by Agent,https://photos.zillowstatic.com/fp/a8bee297e2493024beb0e77b128788c2-p_e.jpg,true,https://www.zillow.com/homedetails/365-John-B-Ave-Windsor-ON-N9C-3G1/441579985_zpid/,FOR_SALE,House for sale,C$,"C$399,999",399999,"365 John B Ave, Windsor, ON N9C 3G1",365 John B Ave,Windsor,ON,N9C3G1,false,[object Object],false,Brick home,homeInsight,[object Object],false,false,false,ForSale,For Sale (Broker),false,false,false,false,true,false,false,true,false,MLS® ID #24023943,Deerbrook Realty Inc. - 175 Brokerage,"[object Object],[object Object],[object Object],[object Object],[object Object],[object Object],[object Object],[object Object],[object Object],[object Object],[object Object],[object Object],[object Object],[object Object],[object Object],[object Object],[object Object],[object Object],[object Object],[object Object],[object Object],[object Object],[object Object],[object Object],[object Object],[object Object],[object Object],[object Object],[object Object],[object Object],[object Object],[object Object],[object Object],[object Object],[object Object],[object Object],[object Object],[object Object],[object Object],[object Object],[object Object],[object Object],[object Object],[object Object],[object Object],[object Object],[object Object],[object Object],[object Object]"
441999469,441999469,ForSale,For Sale by Agent,https://photos.zillowstatic.com/fp/f50c2babb1bd3dcae4fb32500f1d385f-p_e.jpg,true,https://www.zillow.com/homedetails/3975-Turner-Rd-Windsor-ON-N8W-3N7/441999469_zpid/,FOR_SALE,House for sale,C$,"C$289,900",289900,"3975 Turner Rd, Windsor, ON N8W 3N7",3975 Turner Rd,Windsor,ON,N8W3N7,false,[object Object],false,Spacious fenced backyard,homeInsight,[object Object],false,false,false,ForSale,For Sale (Broker),false,false,false,false,true,false,false,true,false,MLS® ID #24024936,Century 21 Local Home Team Realty Inc. Brokerage,"[object Object],[object Object],[object Object],[object Object],[object Object],[object Object],[object Object],[object Object],[object Object],[object Object],[object Object],[object Object],[object Object],[object Object],[object Object],[object Object],[object Object],[object Object],[object Object],[object Object],[object Object],[object Object],[object Object],[object Object],[object Object],[object Object]"
2057172839,2057172839,ForSale,For Sale by Agent,https://photos.zillowstatic.com/fp/11a2e9eae9b0d003936d223d7f2040cd-p_e.jpg,true,https://www.zillow.com/homedetails/1418-Pillette-Rd-Windsor-ON-N8Y-3B9/2057172839_zpid/,FOR_SALE,House for sale,C$,"C$399,900",399900,"1418 Pillette Rd, Windsor, ON N8Y 3B9",1418 Pillette Rd,Windsor,ON,N8Y3B9,false,[object Object],false,Eat-in kitchen,homeInsight,[object Object],false,false,false,ForSale,For Sale (Broker),false,false,false,false,true,false,false,true,false,MLS® ID #24019618,Re/Max Preferred Realty Ltd. - 585 Brokerage,"[object Object],[object Object],[object Object],[object Object],[object Object],[object Object],[object Object],[object Object],[object Object],[object Object],[object Object],[object Object],[object Object],[object Object],[object Object],[object Object],[object Object],[object Object],[object Object],[object Object],[object Object],[object Object],[object Object],[object Object],[object Object],[object Object],[object Object],[object Object],[object Object],[object Object],[object Object],[object Object],[object Object],[object Object],[object Object],[object Object]"
349656821,349656821,ForSale,For Sale by Agent,https://photos.zillowstatic.com/fp/b00131d9580e227f6b8e624acd00afdd-p_e.jpg,true,https://www.zillow.com/homedetails/2361-Fraser-Ave-Windsor-ON-N8X-3Z8/349656821_zpid/,FOR_SALE,House for sale,C$,"C$779,900",779900,"2361 Fraser Ave, Windsor, ON N8X 3Z8",2361 Fraser Ave,Windsor,ON,N8X3Z8,false,[object Object],false,Newly renovated kitchen,homeInsight,[object Object],false,false,false,ForSale,For Sale (Broker),false,false,false,false,true,false,false,true,false,MLS® ID #24010569,Jump Realty Inc. Brokerage,"[object Object],[object Object],[object Object],[object Object],[object Object],[object Object],[object Object],[object Object],[object Object],[object Object],[object Object],[object Object],[object Object],[object Object],[object Object],[object Object],[object Object],[object Object],[object Object],[object Object],[object Object],[object Object],[object Object],[object Object],[object Object],[object Object],[object Object],[object Object],[object Object],[object Object],[object Object],[object Object],[object Object],[object Object],[object Object],[object Object],[object Object],[object Object],[object Object],[object Object],[object Object],[object Object],[object Object]"
2059283035,2059283035,ForSale,For Sale by Agent,https://photos.zillowstatic.com/fp/f045fc9cc747b96cd265cf4e5a530344-p_e.jpg,true,https://www.zillow.com/homedetails/2175-Wyandotte-St-E-309-Windsor-ON-N8Y-5B9/2059283035_zpid/,FOR_SALE,Condo for sale,C$,"C$889,900",889900,"2175 Wyandotte St E #309, Windsor, ON N8Y 5B9",2175 Wyandotte St E #309,Windsor,ON,N8Y5B9,false,[object Object],false,Magazine ready,homeInsight,[object Object],false,false,false,ForSale,For Sale (Broker),false,false,false,false,true,false,false,true,false,MLS® ID #24021140,Manor Windsor Realty Ltd. - 455 Brokerage,"[object Object],[object Object],[object Object],[object Object],[object Object],[object Object],[object Object],[object Object],[object Object],[object Object],[object Object],[object Object],[object Object],[object Object],[object Object],[object Object],[object Object],[object Object],[object Object],[object Object],[object Object],[object Object],[object Object],[object Object],[object Object],[object Object],[object Object],[object Object],[object Object],[object Object],[object Object],[object Object],[object Object],[object Object],[object Object],[object Object],[object Object],[object Object],[object Object],[object Object],[object Object],[object Object],[object Object],[object Object],[object Object],[object Object],[object Object],[object Object],[object Object],[object Object]"
2056272308,2056272308,ForSale,For Sale by Agent,https://photos.zillowstatic.com/fp/ccb638279e64483ac1f3074c466d1ad6-p_e.jpg,true,https://www.zillow.com/homedetails/1645-Arthur-Rd-Windsor-ON-N8Y-3Z2/2056272308_zpid/,FOR_SALE,House for sale,C$,"C$474,900",474900,"1645 Arthur Rd, Windsor, ON N8Y 3Z2",1645 Arthur Rd,Windsor,ON,N8Y3Z2,false,[object Object],false,Open: Sun 1-3pm (11/3),openHouse,[object Object],false,false,false,ForSale,For Sale (Broker),false,false,false,false,true,false,false,true,false,MLS® ID #24021980,Deerbrook Realty Inc. - 175 Brokerage,"[object Object],[object Object],[object Object],[object Object],[object Object],[object Object],[object Object],[object Object],[object Object],[object Object],[object Object],[object Object],[object Object],[object Object],[object Object],[object Object],[object Object],[object Object],[object Object],[object Object],[object Object],[object Object],[object Object],[object Object],[object Object],[object Object],[object Object],[object Object],[object Object],[object Object],[object Object]"
2065451749,2065451749,ForSale,For Sale by Agent,https://photos.zillowstatic.com/fp/6f10289a4bc5ee1ffb799c8693e7a9d1-p_e.jpg,true,https://www.zillow.com/homedetails/440-Prince-Rd-Windsor-ON-N9C-2Y8/2065451749_zpid/,FOR_SALE,Multi-family home for sale,C$,"C$749,900",749900,"440 Prince Rd, Windsor, ON N9C 2Y8",440 Prince Rd,Windsor,ON,N9C2Y8,false,[object Object],false,Dining room,homeInsight,[object Object],false,false,false,ForSale,For Sale (Broker),false,false,false,false,true,false,false,true,false,MLS® ID #24015290,Jump Realty Inc. Brokerage,"[object Object],[object Object],[object Object],[object Object],[object Object],[object Object],[object Object],[object Object],[object Object],[object Object],[object Object],[object Object],[object Object],[object Object],[object Object],[object Object],[object Object],[object Object],[object Object],[object Object],[object Object],[object Object],[object Object],[object Object],[object Object],[object Object],[object Object],[object Object],[object Object],[object Object],[object Object]"
